ISBN,title,author,pages_number,publisher,credits,contents,cover,average_grade
8903528596172,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Jonathan Miller,269,Wheeler-Bryant,14.59,toc-5.pdf,cover-23.jpg,
9313566052240,The Art of Electronics,Brenda Lopez,343,Herrera-Bray,17.7,toc-18.pdf,cover-14.jpg,
5537974845899,Computer Organization and Design: The Hardware/Software Interface,Jeffrey Allen,309,Marsh Inc,12.57,toc-14.pdf,cover-8.jpg,
2293341647603,Power System Analysis and Design,Jessica Kelley DDS,404,Love PLC,23.52,toc-7.pdf,cover-9.jpg,
2935789106129,RF Microelectronics,Richard Stewart,145,"Lewis, Campbell and Tran",4.13,toc-6.pdf,cover-9.jpg,
7726278354615,Data Communications and Networking,Kristin Adams,238,"Vazquez, Krueger and Johnson",6.32,toc-11.pdf,cover-25.jpg,
4883837280147,Principles of Wireless Networks: A Unified Approach,Raymond Sutton,781,"Powell, Buchanan and Anderson",24.09,toc-13.pdf,cover-23.jpg,
6047297780084,Control Systems Engineering,Nathaniel Douglas,728,"Johnson, Morgan and Griffin",13.74,toc-1.pdf,cover-23.jpg,
5991891411694,Digital Image Processing,Terry Richardson,371,Lara Inc,20.83,toc-3.pdf,cover-18.jpg,
6334481930156,Computer Vision: Algorithms and Applications,Angela Shaw,936,Herrera-Johnson,24.12,toc-23.pdf,cover-4.jpg,
8791040994890,"Electric Machines and Drives: Principles, Control, and Applications",Christina Ballard,158,Mcneil-Avery,25.78,toc-30.pdf,cover-6.jpg,
7545793244788,Principles of Electric Machines and Power Electronics,Cynthia Miller MD,450,Burgess Group,23.19,toc-29.pdf,cover-21.jpg,
9188113595761,Introduction to Power Electronics,Elizabeth Thompson,581,"Welch, Hayes and Cervantes",29.03,toc-26.pdf,cover-9.jpg,
8119030701213,Semiconductor Device Fundamentals,Megan Edwards,293,Fletcher Ltd,4.04,toc-20.pdf,cover-14.jpg,
9564398679235,Neural Networks and Learning Machines,John Petersen,862,Hammond PLC,27.51,toc-13.pdf,cover-21.jpg,
2614645732254,Signals and Systems,John Willis,233,Gillespie Ltd,25.65,toc-22.pdf,cover-27.jpg,
4420547840870,Analog Integrated Circuit Design,Robert Ramos,144,Mcdonald-Aguilar,8.87,toc-2.pdf,cover-17.jpg,
1247225406817,Communication Systems,Natalie Fuller,451,Arnold-Golden,24.45,toc-30.pdf,cover-20.jpg,
7762494964500,Antennas and Wave Propagation,Austin Cooper,882,"Fisher, Rice and Forbes",29.19,toc-6.pdf,cover-7.jpg,
5095530371405,"Networks, Lines, and Fields",Amy Bush,708,"Young, Castillo and Melton",15.06,toc-4.pdf,cover-16.jpg,
8611090316888,Electromagnetic Waves and Radiating Systems,Kevin Jones,691,Dixon Ltd,7.05,toc-19.pdf,cover-23.jpg,
6445126500893,Digital Design and Computer Architecture,Carl Pineda,707,Small-Hatfield,27.13,toc-11.pdf,cover-5.jpg,
8754104462762,Electrical Engineering: Principles and Applications,Vanessa Anderson,829,Green-Brown,25.87,toc-18.pdf,cover-11.jpg,
2285484898161,"Digital Signal Processing: Principles, Algorithms, and Applications",Jimmy Jennings,199,"Arroyo, Russell and Robbins",6.69,toc-17.pdf,cover-24.jpg,
9380175390569,Microelectronic Circuits,Jeremy Miller,805,Brown-Carpenter,18.14,toc-17.pdf,cover-5.jpg,
3541041005892,Modern Control Engineering,Jeremy Johnson,611,Henderson-Jones,16.76,toc-2.pdf,cover-21.jpg,
9736872528892,Fundamentals of Electric Circuits,Amy Conley,559,Mann Group,11.57,toc-24.pdf,cover-12.jpg,
7130311692130,Computer Networking: A Top-Down Approach,Samantha Caldwell MD,636,Goodwin-Macdonald,6.56,toc-6.pdf,cover-22.jpg,
8662439660286,Introduction to Algorithms,Kelli Tapia,582,"Bryant, Roberts and Campbell",3.07,toc-13.pdf,cover-27.jpg,
2626786762545,Artificial Intelligence: A Modern Approach,Justin Bishop,381,Black-Kirk,10.16,toc-14.pdf,cover-3.jpg,
7415959114325,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Jason Young,611,"Hurst, Turner and Johnson",5.38,toc-8.pdf,cover-8.jpg,
5358191763333,The Art of Electronics,Michael Oconnor,731,Brown LLC,3.55,toc-14.pdf,cover-28.jpg,
2157870688811,Computer Organization and Design: The Hardware/Software Interface,Matthew May,279,Anderson PLC,6.91,toc-8.pdf,cover-24.jpg,
4075454627812,Power System Analysis and Design,Theresa Lin,393,"Mitchell, Rios and King",4.89,toc-14.pdf,cover-27.jpg,
2572568232410,RF Microelectronics,Christopher Johnson,835,Anderson-Cook,22.37,toc-14.pdf,cover-6.jpg,
5768127909725,Data Communications and Networking,Bradley Smith,382,Shelton-Johnson,3.14,toc-10.pdf,cover-2.jpg,
1636592587276,Principles of Wireless Networks: A Unified Approach,Allison Branch,717,"Petty, Bowers and Taylor",6.43,toc-1.pdf,cover-22.jpg,
1838687291822,Control Systems Engineering,Allen Chambers,784,Lewis-Woods,4.86,toc-5.pdf,cover-16.jpg,
1860611432041,Digital Image Processing,Keith Weaver,264,Wells Ltd,8.41,toc-20.pdf,cover-14.jpg,
8765953889070,Computer Vision: Algorithms and Applications,James Long,466,"Flores, Leonard and Tran",18.42,toc-23.pdf,cover-11.jpg,
7233146923485,"Electric Machines and Drives: Principles, Control, and Applications",Jennifer Young,321,Gonzalez-Christensen,18.1,toc-2.pdf,cover-21.jpg,
2041982086460,Principles of Electric Machines and Power Electronics,Michael Stafford,544,Jones Ltd,5.78,toc-23.pdf,cover-23.jpg,
1085561152876,Introduction to Power Electronics,Kathleen Rogers,960,Jones PLC,29.21,toc-15.pdf,cover-23.jpg,
8952164192787,Semiconductor Device Fundamentals,Brad Hicks,841,"Ingram, Ross and Johnson",9.57,toc-24.pdf,cover-9.jpg,
8970222652502,Neural Networks and Learning Machines,Katherine Roth,455,"Jensen, Delgado and Taylor",14.09,toc-14.pdf,cover-27.jpg,
8676882861181,Signals and Systems,Jennifer Camacho,641,"Bennett, Higgins and Tucker",6.45,toc-12.pdf,cover-24.jpg,
4945071960117,Analog Integrated Circuit Design,Stephen Norris,880,Ochoa-Lopez,7.74,toc-28.pdf,cover-4.jpg,
1249425287414,Communication Systems,Tara Smith,492,"Lewis, Aguilar and Neal",5.84,toc-30.pdf,cover-11.jpg,
9232479889710,Antennas and Wave Propagation,Alejandra Hill,611,"White, Johnson and Lambert",12.51,toc-9.pdf,cover-29.jpg,
2698425284917,"Networks, Lines, and Fields",Shawn Fernandez,147,Crosby-Harris,26.86,toc-29.pdf,cover-1.jpg,
7207650116775,Electromagnetic Waves and Radiating Systems,Jeanette Hunt,114,"Miller, Walker and Ellis",4.57,toc-29.pdf,cover-23.jpg,
2210403893989,Digital Design and Computer Architecture,Donald Bailey,826,Hicks Group,22.36,toc-30.pdf,cover-23.jpg,
6059973564280,Electrical Engineering: Principles and Applications,Nancy Hernandez,435,Gutierrez Inc,8.82,toc-7.pdf,cover-29.jpg,
2837587610135,"Digital Signal Processing: Principles, Algorithms, and Applications",Angie Harper,426,Armstrong-Hill,20.36,toc-11.pdf,cover-12.jpg,
3494235005499,Microelectronic Circuits,Douglas Mitchell,976,"Barnes, Vance and Duncan",21.13,toc-27.pdf,cover-10.jpg,
8049624533979,Modern Control Engineering,Joshua Williams,742,Johnson-Johnson,29.82,toc-22.pdf,cover-12.jpg,
6170499358974,Fundamentals of Electric Circuits,Dalton Maldonado,470,"Jensen, Travis and Rodriguez",19.36,toc-12.pdf,cover-27.jpg,
4338916274018,Computer Networking: A Top-Down Approach,Julie Norman,905,Doyle-Boyd,7.58,toc-11.pdf,cover-23.jpg,
6671118895119,Introduction to Algorithms,Ashley Avila,745,Simmons-Sharp,29.61,toc-19.pdf,cover-9.jpg,
9526708089307,Artificial Intelligence: A Modern Approach,Jade Johnston,727,Walters-Jackson,11.11,toc-1.pdf,cover-4.jpg,
6644536318793,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Shawn Nunez,941,Myers Inc,16.34,toc-1.pdf,cover-11.jpg,
9524943438138,The Art of Electronics,Sarah Williams,934,Sanchez PLC,26.89,toc-4.pdf,cover-28.jpg,
3694318256927,Computer Organization and Design: The Hardware/Software Interface,Dawn Roberts,938,Clark-Boone,16.77,toc-9.pdf,cover-22.jpg,
4388524611451,Power System Analysis and Design,Gregory Smith,120,Young and Sons,29.74,toc-29.pdf,cover-23.jpg,
5833794406822,RF Microelectronics,Thomas Middleton,955,Smith-Moran,23.28,toc-27.pdf,cover-22.jpg,
4123128698349,Data Communications and Networking,Lisa Ayala,168,"Rosario, Torres and Williams",29.03,toc-5.pdf,cover-7.jpg,
5477714887005,Principles of Wireless Networks: A Unified Approach,Amanda Good,924,Shepherd-Gutierrez,15.35,toc-25.pdf,cover-5.jpg,
4242292379257,Control Systems Engineering,Taylor Green,272,Lane Group,19.12,toc-17.pdf,cover-17.jpg,
6212355137268,Digital Image Processing,James Montgomery,131,"Hernandez, Humphrey and Weber",9.04,toc-10.pdf,cover-10.jpg,
5410931304685,Computer Vision: Algorithms and Applications,Selena Lopez,213,Gibson-Ray,24.58,toc-6.pdf,cover-14.jpg,
9622240336955,"Electric Machines and Drives: Principles, Control, and Applications",Joseph Evans,871,Calderon-Rodriguez,17.59,toc-10.pdf,cover-3.jpg,
3305214791257,Principles of Electric Machines and Power Electronics,Allison Baker,730,"Davis, Murray and Obrien",24.05,toc-29.pdf,cover-30.jpg,
2309386889974,Introduction to Power Electronics,Claudia Young,549,"Green, Mann and Ryan",28.83,toc-15.pdf,cover-28.jpg,
4948122032867,Semiconductor Device Fundamentals,John Lewis,899,Spencer-Douglas,7.44,toc-25.pdf,cover-17.jpg,
6965318015628,Neural Networks and Learning Machines,Logan Martin,634,Murillo-Fernandez,6.07,toc-3.pdf,cover-10.jpg,
7844437930472,Signals and Systems,Stacey Cunningham,632,Wu Group,7.7,toc-16.pdf,cover-2.jpg,
4385476133408,Analog Integrated Circuit Design,Jessica Conrad,209,Estes LLC,4.92,toc-3.pdf,cover-12.jpg,
4453321593854,Communication Systems,Nicholas Dixon,732,Hughes-Ramirez,9.76,toc-16.pdf,cover-23.jpg,
2566065454272,Antennas and Wave Propagation,Erika Smith,713,"Wood, Davis and Meyers",27.9,toc-15.pdf,cover-1.jpg,
4219334982281,"Networks, Lines, and Fields",Heather Wiggins,901,Greer LLC,20.24,toc-24.pdf,cover-7.jpg,
1378887419621,Electromagnetic Waves and Radiating Systems,Dana Ramos,173,"Carlson, Phillips and Maxwell",7.23,toc-28.pdf,cover-28.jpg,
1096428058859,Digital Design and Computer Architecture,Mrs. Sarah David MD,525,Chavez and Sons,17.49,toc-21.pdf,cover-29.jpg,
6980903650623,Electrical Engineering: Principles and Applications,Bradley Clarke,136,"Brewer, Butler and Shaffer",3.89,toc-27.pdf,cover-30.jpg,
7095850746228,"Digital Signal Processing: Principles, Algorithms, and Applications",Sarah Long,184,Blair PLC,21.61,toc-21.pdf,cover-21.jpg,
1912839058187,Microelectronic Circuits,Kristina Andersen,738,Huffman Ltd,5.86,toc-10.pdf,cover-26.jpg,
6528347479533,Modern Control Engineering,Lisa Hooper,155,"Daniel, Morales and Thornton",26.98,toc-9.pdf,cover-11.jpg,
4689697339047,Fundamentals of Electric Circuits,Cynthia Young,741,"Hines, Johnson and Foster",29.46,toc-16.pdf,cover-27.jpg,
7727301537372,Computer Networking: A Top-Down Approach,Gloria Blackwell,563,Smith LLC,17.53,toc-4.pdf,cover-23.jpg,
5438615932154,Introduction to Algorithms,Aaron Sharp,452,Valentine-Clark,11.75,toc-19.pdf,cover-19.jpg,
1116147820536,Artificial Intelligence: A Modern Approach,Matthew Jackson,852,"Jackson, Fields and Jones",4.44,toc-18.pdf,cover-6.jpg,
6272358497661,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Erica James,463,Jones LLC,5.16,toc-9.pdf,cover-3.jpg,
2362735126891,The Art of Electronics,Meghan Maddox,659,Chavez LLC,9.17,toc-20.pdf,cover-2.jpg,
1950831987153,Computer Organization and Design: The Hardware/Software Interface,Luis Baird,659,"Rowe, Simmons and Pierce",4.7,toc-7.pdf,cover-21.jpg,
7567356218828,Power System Analysis and Design,Robert Martin,564,"Ryan, Clark and Alvarez",9.87,toc-14.pdf,cover-18.jpg,
3452637346757,RF Microelectronics,Andrea Ross,171,Livingston-Meyers,4.41,toc-25.pdf,cover-7.jpg,
9545557066520,Data Communications and Networking,Thomas Webster,301,Rodriguez-Harris,25.25,toc-8.pdf,cover-22.jpg,
6379745570402,Principles of Wireless Networks: A Unified Approach,Rebecca Manning,630,House Ltd,13.94,toc-3.pdf,cover-29.jpg,
7397208798524,Control Systems Engineering,Laura Franklin,773,Cox PLC,9.19,toc-27.pdf,cover-10.jpg,
7957960871553,Digital Image Processing,Christopher Allen,288,"Anderson, Martinez and Hill",27.38,toc-14.pdf,cover-24.jpg,
4486165852972,Computer Vision: Algorithms and Applications,Jacob Ford,413,Murray Ltd,21.23,toc-29.pdf,cover-13.jpg,
2483077527139,"Electric Machines and Drives: Principles, Control, and Applications",Zachary Washington,635,"Shaw, Adams and Massey",8.64,toc-27.pdf,cover-27.jpg,
3531537007100,Principles of Electric Machines and Power Electronics,Wendy Kennedy,367,Kim-Edwards,3.26,toc-11.pdf,cover-2.jpg,
2469997877674,Introduction to Power Electronics,Crystal Thomas,627,Evans-Robinson,21.95,toc-28.pdf,cover-21.jpg,
5214840779938,Semiconductor Device Fundamentals,Norma Harrison,500,"Weaver, Bennett and Rojas",17.5,toc-12.pdf,cover-23.jpg,
4329491941386,Neural Networks and Learning Machines,Erik Snyder,831,"Parker, Gonzales and Clark",25.27,toc-4.pdf,cover-1.jpg,
8818483659467,Signals and Systems,Joseph Mosley,215,Contreras PLC,8.7,toc-1.pdf,cover-21.jpg,
4528216826947,Analog Integrated Circuit Design,Joel Keith,539,Clark-Jones,12.94,toc-23.pdf,cover-16.jpg,
1555080833111,Communication Systems,Cynthia Miller,590,"Chaney, Park and Watson",18.42,toc-4.pdf,cover-3.jpg,
5761208077770,Antennas and Wave Propagation,Ashley Miller,472,Bates-Martinez,20.19,toc-19.pdf,cover-7.jpg,
3915462886694,"Networks, Lines, and Fields",Claire George,921,"Green, Maldonado and Campos",17.35,toc-17.pdf,cover-29.jpg,
1969063073884,Electromagnetic Waves and Radiating Systems,Corey Williams,132,Atkins-Smith,14.12,toc-29.pdf,cover-4.jpg,
2626184943594,Digital Design and Computer Architecture,Jeff Leach,767,Thomas-Huff,8.93,toc-18.pdf,cover-20.jpg,
6077281042150,Electrical Engineering: Principles and Applications,Theresa Bailey,958,Hicks and Sons,29.08,toc-19.pdf,cover-3.jpg,
7623983557634,"Digital Signal Processing: Principles, Algorithms, and Applications",Thomas Gross,461,"Garrett, Brown and Wiley",16.63,toc-10.pdf,cover-10.jpg,
6461823972341,Microelectronic Circuits,Tristan George,230,"Hopkins, Taylor and Myers",13.89,toc-6.pdf,cover-7.jpg,
1454031103667,Modern Control Engineering,Gabrielle Williams,940,Smith-Schultz,25.94,toc-29.pdf,cover-7.jpg,
4242495876275,Fundamentals of Electric Circuits,Douglas Rodriguez,718,"King, Huff and Herrera",24.5,toc-7.pdf,cover-1.jpg,
7103493939485,Computer Networking: A Top-Down Approach,Peter Acevedo,383,Griffin LLC,7.32,toc-18.pdf,cover-28.jpg,
8374990322789,Introduction to Algorithms,Janice Flores DDS,356,Brown-Huber,13.06,toc-4.pdf,cover-10.jpg,
9838068674740,Artificial Intelligence: A Modern Approach,Amanda Brown,145,Herrera LLC,22.91,toc-14.pdf,cover-12.jpg,
4912408008598,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Janet Oconnor,124,Oliver LLC,24.3,toc-19.pdf,cover-15.jpg,
7363209434902,The Art of Electronics,Kathy Wright,573,Frazier-Owens,27.58,toc-27.pdf,cover-10.jpg,
2238108763138,Computer Organization and Design: The Hardware/Software Interface,Robert Daniels,450,Mcneil-Johnson,17.7,toc-4.pdf,cover-15.jpg,
3894908784246,Power System Analysis and Design,Christopher Herrera,916,"Green, Harvey and Dunn",19.62,toc-20.pdf,cover-29.jpg,
5756678454160,RF Microelectronics,Martha Turner,345,Yu and Sons,27.38,toc-12.pdf,cover-10.jpg,
4902268003870,Data Communications and Networking,Ronald Ramirez,257,Long-Marshall,6.61,toc-10.pdf,cover-13.jpg,
5061235339750,Principles of Wireless Networks: A Unified Approach,Nancy Little,621,"Caldwell, Walker and Valentine",28.74,toc-18.pdf,cover-29.jpg,
2067373131113,Control Systems Engineering,Mr. Marvin Andrade DVM,255,Payne-Huang,23.08,toc-26.pdf,cover-24.jpg,
1660718561097,Digital Image Processing,Spencer Brown,765,Baker LLC,10.32,toc-1.pdf,cover-28.jpg,
3243388561780,Computer Vision: Algorithms and Applications,Heather Fisher PhD,524,Flores Ltd,12.58,toc-30.pdf,cover-26.jpg,
6768258815760,"Electric Machines and Drives: Principles, Control, and Applications",Jamie Wallace,388,"English, Russell and Conner",15.55,toc-9.pdf,cover-15.jpg,
2346240030672,Principles of Electric Machines and Power Electronics,Andrea Dillon,847,"Lawrence, Schwartz and Brown",18.22,toc-23.pdf,cover-27.jpg,
7715744493487,Introduction to Power Electronics,Hunter Newton,283,Black-Murray,11.25,toc-8.pdf,cover-21.jpg,
8760706676487,Semiconductor Device Fundamentals,Joel Phillips,493,Singh-Green,26.65,toc-21.pdf,cover-26.jpg,
6663818318279,Neural Networks and Learning Machines,Kenneth Wright,433,"Prince, Swanson and Phillips",26.78,toc-23.pdf,cover-5.jpg,
3823709770297,Signals and Systems,Sheri Hill,676,Gibson LLC,4.69,toc-10.pdf,cover-30.jpg,
9852692039421,Analog Integrated Circuit Design,William Cruz,124,Frazier-Matthews,13.62,toc-17.pdf,cover-12.jpg,
8070717669742,Communication Systems,Donald Wolf,623,Hunt Ltd,25.48,toc-17.pdf,cover-19.jpg,
6514958264950,Antennas and Wave Propagation,Sean Thornton,998,Young-Lopez,8.29,toc-4.pdf,cover-6.jpg,
1552079100017,"Networks, Lines, and Fields",Lisa Martin,666,Green-Martin,13.79,toc-23.pdf,cover-15.jpg,
6084519980893,Electromagnetic Waves and Radiating Systems,Daniel Johnson,792,"Stone, Alvarado and Rubio",26.03,toc-16.pdf,cover-6.jpg,
8569286457308,Digital Design and Computer Architecture,Philip Brown,142,Thompson LLC,16.72,toc-3.pdf,cover-27.jpg,
2950967531806,Electrical Engineering: Principles and Applications,Brittany Jones,990,"Fletcher, Jackson and Holder",15.89,toc-5.pdf,cover-23.jpg,
3809369012821,"Digital Signal Processing: Principles, Algorithms, and Applications",Tracey Mejia,438,Warren PLC,24.9,toc-3.pdf,cover-14.jpg,
8596675909582,Microelectronic Circuits,Sandra Fowler,702,"Wallace, Morris and Martinez",7.36,toc-28.pdf,cover-4.jpg,
3296347173891,Modern Control Engineering,David Sanders,205,Paul Inc,22.86,toc-13.pdf,cover-8.jpg,
3920941653708,Fundamentals of Electric Circuits,Stephanie Walton,459,Villanueva-Murray,25.87,toc-18.pdf,cover-4.jpg,
8879993994155,Computer Networking: A Top-Down Approach,Christian Johnson,174,Smith-Mcintyre,20.98,toc-20.pdf,cover-27.jpg,
6429207597879,Introduction to Algorithms,Christine Parker,119,"Nguyen, Ellis and Dixon",26.6,toc-22.pdf,cover-15.jpg,
2941689071155,Artificial Intelligence: A Modern Approach,Timothy Garcia,178,White-Velez,15.69,toc-16.pdf,cover-30.jpg,
5305877723096,Embedded Systems: Introduction to Arm Cortex-M Microcontrollers,Matthew Barber,418,"Gray, Stark and Johnston",7.02,toc-10.pdf,cover-6.jpg,
3769734589336,The Art of Electronics,Kimberly Castro,933,"Gilbert, Blanchard and Hart",18.31,toc-6.pdf,cover-14.jpg,
1042811935277,Computer Organization and Design: The Hardware/Software Interface,Justin Rosales,788,"Kidd, Ellison and Welch",21.06,toc-6.pdf,cover-9.jpg,
7787755228371,Power System Analysis and Design,Danielle Blevins,799,"Santiago, Davis and Gonzales",12.41,toc-15.pdf,cover-9.jpg,
7879236529074,RF Microelectronics,Brittney Black,477,Long Ltd,22.02,toc-16.pdf,cover-14.jpg,
4528290658980,Data Communications and Networking,Troy Williams,301,Gordon Group,18.67,toc-13.pdf,cover-19.jpg,
3835709562774,Principles of Wireless Networks: A Unified Approach,Danielle Hernandez,130,Stewart LLC,9.28,toc-5.pdf,cover-1.jpg,
4213278011326,Control Systems Engineering,Tonya Long,418,Rodriguez Group,16.94,toc-10.pdf,cover-28.jpg,
9898119662002,Digital Image Processing,Robert Potter,538,Cooper and Sons,24.67,toc-23.pdf,cover-27.jpg,
2968534366472,Computer Vision: Algorithms and Applications,Tyler Odonnell,901,"Williams, Williams and Brady",17.67,toc-22.pdf,cover-12.jpg,
8155510056166,"Electric Machines and Drives: Principles, Control, and Applications",Nancy Faulkner,924,Carter Inc,25.97,toc-24.pdf,cover-11.jpg,
5024448695320,Principles of Electric Machines and Power Electronics,Shannon Pearson,494,"Payne, Stewart and Romero",10.31,toc-16.pdf,cover-24.jpg,
3452319969476,Introduction to Power Electronics,William Welch,195,"Blake, Johnson and Hall",11.69,toc-14.pdf,cover-26.jpg,
3675018951947,Semiconductor Device Fundamentals,Norman Valenzuela,925,Mahoney LLC,24.42,toc-7.pdf,cover-8.jpg,
9656442076308,Neural Networks and Learning Machines,Lindsay Davis,889,Hardy-Montes,20.95,toc-7.pdf,cover-1.jpg,
4144516446035,Signals and Systems,Juan Sullivan,130,Scott Group,20.11,toc-13.pdf,cover-24.jpg,
5014217375101,Analog Integrated Circuit Design,Michael Perkins,840,Hughes Group,20.55,toc-16.pdf,cover-2.jpg,
4244412262614,Communication Systems,Whitney Wallace,350,Murphy-Tyler,21.48,toc-4.pdf,cover-19.jpg,
9818018371845,Antennas and Wave Propagation,Gary Branch,107,Bradley Group,21.27,toc-14.pdf,cover-24.jpg,
3481727793597,"Networks, Lines, and Fields",Jennifer Ford,812,Woods PLC,28.65,toc-27.pdf,cover-10.jpg,
5894837742849,Electromagnetic Waves and Radiating Systems,Andrew Keith,535,Wright Inc,6.55,toc-15.pdf,cover-22.jpg,
5355443808249,Digital Design and Computer Architecture,Steven Jordan,548,Kennedy-Ferguson,29.99,toc-11.pdf,cover-4.jpg,
6226661171476,Electrical Engineering: Principles and Applications,Timothy Williams,513,Clark Group,7.39,toc-25.pdf,cover-15.jpg,
9682312705756,"Digital Signal Processing: Principles, Algorithms, and Applications",Mr. Brian Horn,711,Ryan-Russo,28.63,toc-23.pdf,cover-12.jpg,
6326802239882,Microelectronic Circuits,Raymond Cooper,439,Palmer-Taylor,10.01,toc-26.pdf,cover-27.jpg,
